state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,18/01/2021,1400,1600,1500
Gujarat,Amreli,Damnagar,Brinjal,Other,18/01/2021,1000,1200,1100
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,18/01/2021,200,400,300
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,18/01/2021,400,600,500
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,18/01/2021,300,500,400
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,18/01/2021,500,700,600
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,18/01/2021,1600,1800,1700
Gujarat,Amreli,Damnagar,Guar,Gwar,18/01/2021,2400,2600,2500
Gujarat,Amreli,Damnagar,Lemon,Lemon,18/01/2021,1100,1300,1200
Gujarat,Bharuch,Jambusar,Arhar (Tur/Red Gram)(Whole),Other,18/01/2021,4200,5000,4600
Gujarat,Bharuch,Jambusar,Bajra(Pearl Millet/Cumbu),Other,18/01/2021,1600,2000,1800
Gujarat,Bharuch,Jambusar,Castor Seed,Other,18/01/2021,3300,3900,3600
Gujarat,Bharuch,Jambusar,Cotton,Other,18/01/2021,4400,4800,4600
Gujarat,Bharuch,Jambusar,Jowar(Sorghum),Other,18/01/2021,1800,2200,2000
Gujarat,Bharuch,Jambusar,Maize,Other,18/01/2021,1500,1700,1600
Gujarat,Bharuch,Jambusar,Wheat,Other,18/01/2021,1700,2100,1900
Gujarat,Bharuch,Jambusar(Kaavi),Arhar (Tur/Red Gram)(Whole),Other,18/01/2021,4600,5000,4800
Gujarat,Bharuch,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),Other,18/01/2021,1600,2000,1800
Gujarat,Bharuch,Jambusar(Kaavi),Castor Seed,Other,18/01/2021,3400,4200,3800
Gujarat,Bharuch,Jambusar(Kaavi),Cotton,Other,18/01/2021,4300,4900,4600
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,18/01/2021,1700,2300,2000
Gujarat,Bharuch,Jambusar(Kaavi),Maize,Other,18/01/2021,1550,1750,1650
Gujarat,Narmada,Rajpipla,Banana,Other,18/01/2021,500,1000,800
Gujarat,Narmada,Rajpipla,Cotton,Cotton (Unginned),18/01/2021,4800,6025,5375
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Apple,American,18/01/2021,6000,9000,7500
